post_id,time_of_day,day_of_week,full_datelikes_count
1124990,day,thursday,2023-07-13 12:54:22,902
1124875,morning,thursday,2023-07-13 10:32:20,505
1124780,morning,thursday,2023-07-13 07:00:01,671
1124516,day,wednesday,2023-07-12 17:13:52,629
1124473,day,wednesday,2023-07-12 16:02:30,432
1124414,day,wednesday,2023-07-12 15:09:34,540
1124288,day,wednesday,2023-07-12 12:00:45,660
1124187,morning,wednesday,2023-07-12 10:00:02,435
1124142,morning,wednesday,2023-07-12 07:00:01,420
1123983,evening,tuesday,2023-07-11 20:08:45,530
1123613,morning,tuesday,2023-07-11 09:33:23,988
1123476,evening,monday,2023-07-10 21:51:36,855
1123343,day,monday,2023-07-10 15:47:02,529
1123324,day,monday,2023-07-10 15:09:41,503
1123188,day,monday,2023-07-10 12:05:29,607
1123121,morning,monday,2023-07-10 10:15:52,409
1123040,morning,monday,2023-07-10 07:00:01,585
1122920,day,sunday,2023-07-09 16:00:01,496
1122884,day,sunday,2023-07-09 14:05:02,1202
1122854,morning,sunday,2023-07-09 11:02:03,545
1122667,day,saturday,2023-07-08 15:30:33,539
1122596,day,saturday,2023-07-08 13:01:01,418
1122489,morning,saturday,2023-07-08 10:30:42,735
1122210,day,friday,2023-07-07 16:39:17,518
1122022,morning,friday,2023-07-07 09:30:07,582
1121956,morning,friday,2023-07-07 07:00:22,516
1121883,evening,thursday,2023-07-06 21:52:10,492
1121696,day,thursday,2023-07-06 14:57:37,622
1121653,day,thursday,2023-07-06 12:31:15,575
1121556,morning,thursday,2023-07-06 10:00:02,837
1121459,morning,thursday,2023-07-06 07:00:13,1292
1121251,day,wednesday,2023-07-05 12:24:19,602
1121224,morning,wednesday,2023-07-05 11:50:03,585
1121120,morning,wednesday,2023-07-05 08:30:09,408
1121105,morning,wednesday,2023-07-05 07:00:01,295
1120624,morning,tuesday,2023-07-04 07:58:52,954
1120390,day,monday,2023-07-03 14:50:35,1008
1120330,morning,monday,2023-07-03 11:39:47,513
1120290,morning,monday,2023-07-03 09:34:30,410
1120251,morning,monday,2023-07-03 07:00:01,593
1120220,evening,sunday,2023-07-02 22:08:23,1244
1120127,day,sunday,2023-07-02 14:00:01,1028
1120042,morning,sunday,2023-07-02 09:00:01,691
1119865,evening,saturday,2023-07-01 18:31:32,836
1119840,evening,saturday,2023-07-01 18:15:18,589
1119812,day,saturday,2023-07-01 17:00:57,721
1119744,morning,saturday,2023-07-01 10:00:08,940
1119480,day,friday,2023-06-30 15:27:06,523
1119446,day,friday,2023-06-30 14:38:18,826
1119372,day,friday,2023-06-30 13:15:57,1037
1119240,morning,friday,2023-06-30 10:58:52,455
1119190,morning,friday,2023-06-30 09:30:10,658
1119164,morning,friday,2023-06-30 08:00:02,363
1119155,morning,friday,2023-06-30 07:00:01,348
1119053,evening,thursday,2023-06-29 21:23:23,1099
1118809,day,thursday,2023-06-29 16:01:52,275
1118797,day,thursday,2023-06-29 15:31:48,971
1118540,morning,thursday,2023-06-29 08:00:01,597
1118531,morning,thursday,2023-06-29 07:00:01,1321
1118204,day,wednesday,2023-06-28 15:50:08,980
1118123,day,wednesday,2023-06-28 14:33:27,589
1117964,day,wednesday,2023-06-28 12:11:07,468
1117780,morning,wednesday,2023-06-28 09:30:00,562
1117738,morning,wednesday,2023-06-28 08:00:02,1238
1117715,morning,wednesday,2023-06-28 07:00:01,563
1117442,day,tuesday,2023-06-27 16:24:21,598
1117386,day,tuesday,2023-06-27 15:14:12,575
1117224,morning,tuesday,2023-06-27 10:30:00,731
1117140,morning,tuesday,2023-06-27 07:00:01,787
1116876,day,monday,2023-06-26 15:00:25,470
1116770,day,monday,2023-06-26 13:00:18,410
1116667,morning,monday,2023-06-26 11:30:23,498
1116522,morning,monday,2023-06-26 09:05:11,1770
1116390,evening,sunday,2023-06-25 20:57:43,708
1116324,evening,sunday,2023-06-25 18:53:56,751
1115565,evening,saturday,2023-06-24 18:15:20,1638
1115316,day,saturday,2023-06-24 13:40:17,4667
1115118,morning,saturday,2023-06-24 09:27:00,2401
1115052,morning,saturday,2023-06-24 06:04:31,936
1114813,morning,friday,2023-06-23 10:00:02,576
1114766,morning,friday,2023-06-23 07:02:36,455
1114505,day,thursday,2023-06-22 17:00:34,501
1114416,day,thursday,2023-06-22 13:53:56,777
1114320,morning,thursday,2023-06-22 10:00:02,292
1114064,day,wednesday,2023-06-21 15:01:57,438
1113990,day,wednesday,2023-06-21 13:22:26,826
1113917,morning,wednesday,2023-06-21 10:42:36,410
1113648,evening,tuesday,2023-06-20 18:11:40,1651
1113597,day,tuesday,2023-06-20 15:56:29,525
1113465,morning,tuesday,2023-06-20 10:30:00,632
1113411,morning,tuesday,2023-06-20 07:01:57,522
1113234,day,monday,2023-06-19 14:32:55,421
1113184,day,monday,2023-06-19 12:34:16,606
1113130,morning,monday,2023-06-19 10:30:31,390
1113009,morning,monday,2023-06-19 07:00:07,755
1112852,day,sunday,2023-06-18 15:00:54,588
1112817,morning,sunday,2023-06-18 11:04:38,677
1112749,day,saturday,2023-06-17 15:00:31,306
1112674,morning,saturday,2023-06-17 10:30:32,494
1112338,day,friday,2023-06-16 15:00:38,458
1112337,day,friday,2023-06-16 15:00:24,666
1112212,day,friday,2023-06-16 12:10:37,478
1112085,morning,friday,2023-06-16 09:00:50,430
1112058,morning,friday,2023-06-16 07:00:07,704
1111865,day,thursday,2023-06-15 17:12:12,385
1111860,day,thursday,2023-06-15 17:00:09,526
1111854,day,thursday,2023-06-15 16:47:57,740
1111711,morning,thursday,2023-06-15 10:31:42,275
1111681,morning,thursday,2023-06-15 09:30:38,459
1111617,morning,thursday,2023-06-15 07:00:18,264
1111293,day,wednesday,2023-06-14 14:51:21,844
1111110,morning,wednesday,2023-06-14 07:00:12,431
1111018,evening,tuesday,2023-06-13 20:43:45,704
1110908,day,tuesday,2023-06-13 17:15:31,481
1110876,day,tuesday,2023-06-13 16:17:58,530
1110864,day,tuesday,2023-06-13 16:03:47,351
1110740,day,tuesday,2023-06-13 12:45:38,782
1110603,morning,tuesday,2023-06-13 07:00:01,382
1110439,day,monday,2023-06-12 14:03:14,449
1110365,morning,monday,2023-06-12 11:37:17,774
1110272,morning,monday,2023-06-12 09:00:08,3190
1110142,day,sunday,2023-06-11 15:46:00,561
1110098,day,sunday,2023-06-11 13:30:11,619
1110061,morning,sunday,2023-06-11 11:15:36,343
1109942,day,saturday,2023-06-10 15:16:02,608
1109915,day,saturday,2023-06-10 13:00:36,486
1109843,morning,saturday,2023-06-10 10:30:04,841
1109561,day,friday,2023-06-09 15:30:09,475
1109537,day,friday,2023-06-09 14:39:27,428
1109340,morning,friday,2023-06-09 07:00:14,444
1109201,day,thursday,2023-06-08 17:20:52,624
1109165,day,thursday,2023-06-08 15:38:59,631
1109107,day,thursday,2023-06-08 12:12:45,414
1109030,morning,thursday,2023-06-08 09:30:13,357
1109014,morning,thursday,2023-06-08 07:59:53,172
1108944,evening,wednesday,2023-06-07 20:12:20,551
1108810,day,wednesday,2023-06-07 15:51:39,965
1108716,day,wednesday,2023-06-07 12:00:18,435
1108642,morning,wednesday,2023-06-07 07:01:49,578
1108536,day,tuesday,2023-06-06 17:41:23,561
1108516,day,tuesday,2023-06-06 17:11:08,359
1108313,morning,tuesday,2023-06-06 10:31:12,795
1108278,morning,tuesday,2023-06-06 07:00:11,516
1108087,day,monday,2023-06-05 12:52:34,566
1107987,morning,monday,2023-06-05 07:09:40,853
1107834,day,sunday,2023-06-04 15:00:02,460
1107793,day,sunday,2023-06-04 13:30:00,950
1107728,morning,sunday,2023-06-04 11:00:02,463
1107640,morning,sunday,2023-06-04 09:00:03,855
1107443,day,saturday,2023-06-03 13:00:02,461
1107401,morning,saturday,2023-06-03 11:00:03,764
1107253,evening,friday,2023-06-02 18:15:27,295
1107170,day,friday,2023-06-02 16:09:04,895
1107082,morning,friday,2023-06-02 11:30:36,353
1107053,morning,friday,2023-06-02 10:10:58,362
1106999,morning,friday,2023-06-02 07:00:02,706
1106864,day,thursday,2023-06-01 17:20:33,520
1106745,day,thursday,2023-06-01 15:41:37,800
1106658,day,thursday,2023-06-01 12:00:42,484
1106579,morning,thursday,2023-06-01 10:00:04,513
1106533,morning,thursday,2023-06-01 09:00:04,665
1106499,morning,thursday,2023-06-01 07:00:02,552
1106256,day,wednesday,2023-05-31 16:00:47,499
1106206,day,wednesday,2023-05-31 14:49:35,561
1106162,day,wednesday,2023-05-31 13:30:32,261
1106148,day,wednesday,2023-05-31 12:57:32,288
1106113,morning,wednesday,2023-05-31 11:56:02,693
1105868,evening,tuesday,2023-05-30 20:34:39,952
1105467,morning,tuesday,2023-05-30 11:21:53,465
1105097,morning,tuesday,2023-05-30 08:43:03,923
1105002,morning,tuesday,2023-05-30 07:46:51,522
1104978,morning,tuesday,2023-05-30 07:22:45,1062
1104861,evening,monday,2023-05-29 18:00:22,648
1104827,day,monday,2023-05-29 17:01:10,653
1104685,morning,monday,2023-05-29 11:30:00,961
1104609,morning,monday,2023-05-29 07:00:33,565
1104463,day,sunday,2023-05-28 15:45:00,441
1104407,day,sunday,2023-05-28 14:30:00,820
1104382,day,sunday,2023-05-28 13:50:04,572
1104344,day,sunday,2023-05-28 12:45:45,650
1104293,morning,sunday,2023-05-28 10:00:05,714
1104112,day,saturday,2023-05-27 16:00:03,540
1104088,day,saturday,2023-05-27 14:45:00,778
1104070,day,saturday,2023-05-27 13:00:03,394
1104047,morning,saturday,2023-05-27 11:45:00,496
1104014,morning,saturday,2023-05-27 10:03:19,670
1103751,day,friday,2023-05-26 16:30:26,587
1103711,day,friday,2023-05-26 14:27:37,1271
1103619,morning,friday,2023-05-26 10:30:21,351
1103537,morning,friday,2023-05-26 07:00:29,513
1103335,day,thursday,2023-05-25 17:20:00,320
1103312,day,thursday,2023-05-25 15:56:41,791
1103198,morning,thursday,2023-05-25 11:30:00,642
1103107,morning,thursday,2023-05-25 07:00:02,465
1102829,day,wednesday,2023-05-24 16:00:24,437
1102783,day,wednesday,2023-05-24 15:08:31,899
1102710,day,wednesday,2023-05-24 12:00:59,755
1102661,morning,wednesday,2023-05-24 10:00:59,616
1102603,morning,wednesday,2023-05-24 07:00:37,338
1102466,evening,tuesday,2023-05-23 20:30:00,321
1102447,evening,tuesday,2023-05-23 19:59:21,569
1102298,day,tuesday,2023-05-23 16:00:18,972
1101998,day,monday,2023-05-22 17:04:09,592
1101980,day,monday,2023-05-22 16:23:28,560
1101777,morning,monday,2023-05-22 11:30:00,642
1101672,morning,monday,2023-05-22 07:00:35,558
1101497,day,sunday,2023-05-21 16:07:17,637
1101451,day,sunday,2023-05-21 13:45:00,749
1101393,morning,sunday,2023-05-21 11:15:00,1075
1101353,morning,sunday,2023-05-21 09:00:03,501
1101144,day,saturday,2023-05-20 16:15:40,661
1101103,day,saturday,2023-05-20 14:00:24,387
1101025,morning,saturday,2023-05-20 11:30:00,441
1100994,morning,saturday,2023-05-20 10:01:10,662
1100795,day,friday,2023-05-19 17:30:00,1292
1100637,day,friday,2023-05-19 14:00:35,511
1100563,morning,friday,2023-05-19 11:07:20,584
1100446,morning,friday,2023-05-19 07:00:32,619
1100223,day,thursday,2023-05-18 16:30:42,424
1100206,day,thursday,2023-05-18 15:36:17,751
1100077,day,thursday,2023-05-18 12:15:50,666
1100023,morning,thursday,2023-05-18 11:00:55,295
1099949,morning,thursday,2023-05-18 08:00:25,1015
1099936,morning,thursday,2023-05-18 07:02:28,724
1099724,day,wednesday,2023-05-17 16:16:04,275
1099608,day,wednesday,2023-05-17 12:26:27,466
1099515,morning,wednesday,2023-05-17 10:02:26,818
1099482,morning,wednesday,2023-05-17 07:00:59,514
1099247,day,tuesday,2023-05-16 14:32:15,379
1099168,day,tuesday,2023-05-16 12:12:52,564
1099023,morning,tuesday,2023-05-16 09:30:00,406
1098832,day,monday,2023-05-15 15:49:15,587
1098729,day,monday,2023-05-15 12:30:47,491
1098673,morning,monday,2023-05-15 11:00:38,618
1098620,morning,monday,2023-05-15 09:30:18,1034
1098578,morning,monday,2023-05-15 07:00:44,1561
1098409,day,sunday,2023-05-14 15:01:50,1777
1098350,day,sunday,2023-05-14 12:30:00,487
1098321,morning,sunday,2023-05-14 10:00:03,687
1098102,day,saturday,2023-05-13 15:00:03,427
1098002,day,saturday,2023-05-13 12:00:05,761
1097938,morning,saturday,2023-05-13 10:00:04,567
1097714,day,friday,2023-05-12 16:30:01,578
1097629,day,friday,2023-05-12 14:30:00,422
1097575,day,friday,2023-05-12 13:00:03,1506
1097488,morning,friday,2023-05-12 10:50:21,862
1097236,day,thursday,2023-05-11 15:21:07,764
1097150,day,thursday,2023-05-11 13:05:51,400
1097063,morning,thursday,2023-05-11 10:32:33,469
1096940,morning,thursday,2023-05-11 07:00:25,674
1096641,day,wednesday,2023-05-10 15:32:18,467
1096575,day,wednesday,2023-05-10 14:15:31,1357
1096488,day,wednesday,2023-05-10 12:40:51,389
1096370,morning,wednesday,2023-05-10 10:15:00,837
1096255,morning,wednesday,2023-05-10 08:01:19,469
1096245,morning,wednesday,2023-05-10 07:00:24,489
1096079,day,tuesday,2023-05-09 17:30:00,817
1096026,day,tuesday,2023-05-09 16:13:14,1125
1095967,day,tuesday,2023-05-09 14:05:14,2028
1095793,morning,tuesday,2023-05-09 08:00:16,4607
1095356,day,monday,2023-05-08 16:30:13,551
1095291,day,monday,2023-05-08 14:15:39,1121
1095225,day,monday,2023-05-08 12:00:46,766
1095179,morning,monday,2023-05-08 10:31:38,870
1094939,day,sunday,2023-05-07 15:45:00,771
1094898,day,sunday,2023-05-07 13:30:00,612
1094786,morning,sunday,2023-05-07 11:00:03,455
1094708,morning,sunday,2023-05-07 09:15:00,647
1094466,day,saturday,2023-05-06 15:30:24,465
1094374,day,saturday,2023-05-06 13:00:03,536
1094242,morning,saturday,2023-05-06 10:30:00,625
1093922,day,friday,2023-05-05 17:54:09,370
1093905,day,friday,2023-05-05 17:37:29,765
1093901,day,friday,2023-05-05 17:29:36,482
1093718,day,friday,2023-05-05 14:11:51,606
1093540,morning,friday,2023-05-05 10:30:01,548
1093451,morning,friday,2023-05-05 08:00:31,855
1093426,morning,friday,2023-05-05 07:00:35,385
1092986,day,thursday,2023-05-04 15:06:47,619
1092969,day,thursday,2023-05-04 14:52:11,510
1092872,day,thursday,2023-05-04 12:40:24,449
1092767,morning,thursday,2023-05-04 10:22:06,687
1092654,morning,thursday,2023-05-04 07:00:33,754
1092178,day,wednesday,2023-05-03 15:15:00,658
1092132,day,wednesday,2023-05-03 14:26:12,1099
1091978,morning,wednesday,2023-05-03 11:30:00,778
1091854,morning,wednesday,2023-05-03 09:00:04,589
1091813,morning,wednesday,2023-05-03 07:00:02,405
1091648,evening,tuesday,2023-05-02 19:56:13,546
1091405,day,tuesday,2023-05-02 14:47:08,1011
1091154,morning,tuesday,2023-05-02 10:30:00,731
1091066,morning,tuesday,2023-05-02 07:00:02,804
1090763,day,monday,2023-05-01 16:34:25,1071
1090629,day,monday,2023-05-01 14:21:07,803
1090522,morning,monday,2023-05-01 11:40:21,843
1090440,morning,monday,2023-05-01 09:00:54,500
1090411,morning,monday,2023-05-01 08:00:43,1344
1090124,day,sunday,2023-04-30 15:45:00,829
1090069,day,sunday,2023-04-30 14:00:03,904
1089980,morning,sunday,2023-04-30 11:46:40,1147
1089950,morning,sunday,2023-04-30 10:18:06,751
1089784,evening,saturday,2023-04-29 18:45:00,707
1089771,evening,saturday,2023-04-29 18:17:04,571
1089762,day,saturday,2023-04-29 17:41:13,886
1089389,day,friday,2023-04-28 17:01:12,959
1089333,day,friday,2023-04-28 16:22:15,1320
1089128,day,friday,2023-04-28 12:00:33,671
1089007,morning,friday,2023-04-28 09:30:26,410
1088959,morning,friday,2023-04-28 07:01:38,1403
1088905,evening,thursday,2023-04-27 21:55:35,1059
1088287,day,wednesday,2023-04-26 16:39:52,463
1088229,day,wednesday,2023-04-26 14:33:29,664
1088134,morning,wednesday,2023-04-26 11:30:00,618
1088035,morning,wednesday,2023-04-26 07:00:36,629
1087760,day,tuesday,2023-04-25 16:32:02,525
1087706,day,tuesday,2023-04-25 15:38:32,873
1087663,day,tuesday,2023-04-25 14:45:18,917
1087444,morning,tuesday,2023-04-25 08:00:04,381
1087413,morning,tuesday,2023-04-25 07:00:02,458
1087115,day,monday,2023-04-24 14:48:01,1695
1087041,day,monday,2023-04-24 12:55:56,828
1086856,morning,monday,2023-04-24 07:00:45,940
1086651,day,sunday,2023-04-23 15:30:00,1088
1086586,day,sunday,2023-04-23 12:45:00,877
1086533,morning,sunday,2023-04-23 10:00:04,536
1086519,morning,sunday,2023-04-23 09:00:03,1002
1086270,day,saturday,2023-04-22 17:11:07,462
1086130,day,saturday,2023-04-22 12:30:28,607
1086034,morning,saturday,2023-04-22 10:00:21,1204
1085813,day,friday,2023-04-21 16:30:28,451
1085728,day,friday,2023-04-21 14:30:33,405
1085627,day,friday,2023-04-21 12:15:00,503
1085505,morning,friday,2023-04-21 10:15:46,880
1085421,morning,friday,2023-04-21 07:00:40,744
1084991,day,thursday,2023-04-20 16:01:38,612
1084831,day,thursday,2023-04-20 14:00:04,400
1084734,day,thursday,2023-04-20 12:30:00,600
1084660,morning,thursday,2023-04-20 10:43:25,634
1084583,morning,thursday,2023-04-20 07:00:02,442
1084280,day,wednesday,2023-04-19 16:00:04,296
1084206,day,wednesday,2023-04-19 14:30:47,374
1084123,day,wednesday,2023-04-19 12:31:18,302
1084030,morning,wednesday,2023-04-19 10:14:46,495
1083926,morning,wednesday,2023-04-19 07:00:51,557
1083713,evening,tuesday,2023-04-18 18:55:03,343
1083555,day,tuesday,2023-04-18 15:00:04,595
1083433,day,tuesday,2023-04-18 12:31:46,379
1083421,day,tuesday,2023-04-18 12:11:31,468
1083400,morning,tuesday,2023-04-18 11:30:01,337
1083345,morning,tuesday,2023-04-18 10:38:36,722
1083048,day,monday,2023-04-17 17:45:00,771
1082944,day,monday,2023-04-17 16:06:22,432
1082654,morning,monday,2023-04-17 10:30:54,548
1082580,morning,monday,2023-04-17 07:00:29,542
1082266,day,sunday,2023-04-16 14:00:03,823
1082176,morning,sunday,2023-04-16 11:30:00,595
1082080,morning,sunday,2023-04-16 10:00:05,553
1082004,morning,sunday,2023-04-16 08:00:03,2315
1081621,day,saturday,2023-04-15 15:00:40,554
1081448,day,saturday,2023-04-15 12:30:33,737
1081294,morning,saturday,2023-04-15 09:00:50,586
1080976,day,friday,2023-04-14 16:38:49,1050
1080825,day,friday,2023-04-14 13:00:04,685
1080739,morning,friday,2023-04-14 10:30:51,627
1080666,morning,friday,2023-04-14 08:00:41,489
1080653,morning,friday,2023-04-14 07:01:32,377
1080556,evening,thursday,2023-04-13 19:27:07,481
1080314,day,thursday,2023-04-13 12:07:28,480
1080140,morning,thursday,2023-04-13 07:00:24,959
1079934,day,wednesday,2023-04-12 15:28:32,640
1079639,morning,wednesday,2023-04-12 10:30:48,384
1079541,morning,wednesday,2023-04-12 08:00:30,977
1079529,morning,wednesday,2023-04-12 07:00:02,930
1079332,day,tuesday,2023-04-11 15:00:03,241
1079236,day,tuesday,2023-04-11 12:36:39,542
1079154,morning,tuesday,2023-04-11 10:45:00,845
1079066,morning,tuesday,2023-04-11 07:00:02,240
1078851,day,monday,2023-04-10 16:35:21,298
1078808,day,monday,2023-04-10 15:38:10,659
1078668,day,monday,2023-04-10 12:20:12,416
1078557,morning,monday,2023-04-10 10:00:27,417
1078504,morning,monday,2023-04-10 07:00:39,270
1078324,day,sunday,2023-04-09 15:00:03,487
1078260,day,sunday,2023-04-09 12:30:00,354
1078204,morning,sunday,2023-04-09 10:00:05,340
1078179,morning,sunday,2023-04-09 09:00:03,292
1077915,day,saturday,2023-04-08 15:30:00,507
1077849,day,saturday,2023-04-08 13:00:03,256
1077812,morning,saturday,2023-04-08 10:30:01,493
1077402,day,friday,2023-04-07 14:30:57,338
1077347,day,friday,2023-04-07 13:39:54,408
1077332,day,friday,2023-04-07 13:23:01,470
1077244,morning,friday,2023-04-07 10:31:03,615
1077177,morning,friday,2023-04-07 08:01:00,412
1077161,morning,friday,2023-04-07 07:00:35,331
1076952,day,thursday,2023-04-06 16:31:25,264
1076828,day,thursday,2023-04-06 14:34:07,330
1076718,day,thursday,2023-04-06 12:31:16,359
1076632,morning,thursday,2023-04-06 10:55:27,893
1076462,morning,thursday,2023-04-06 07:00:21,216
1076195,evening,wednesday,2023-04-05 18:13:36,187
1076065,day,wednesday,2023-04-05 16:02:54,467
1076003,day,wednesday,2023-04-05 15:07:38,435
1075815,day,wednesday,2023-04-05 12:32:00,358
1075701,morning,wednesday,2023-04-05 11:01:00,628
1075681,morning,wednesday,2023-04-05 10:17:55,211
1075105,morning,tuesday,2023-04-04 11:08:16,902
1074759,day,monday,2023-04-03 17:00:56,364
1074670,day,monday,2023-04-03 15:33:33,483
1074571,day,monday,2023-04-03 13:30:01,232
1074512,day,monday,2023-04-03 12:24:48,358
1074354,morning,monday,2023-04-03 08:00:56,225
1074337,morning,monday,2023-04-03 07:02:03,346
1074027,day,sunday,2023-04-02 15:30:00,970
1073918,day,sunday,2023-04-02 13:00:03,412
1073874,morning,sunday,2023-04-02 11:00:03,438
1073826,morning,sunday,2023-04-02 09:30:00,678
1073814,morning,sunday,2023-04-02 08:30:00,540
1073478,day,saturday,2023-04-01 15:02:40,245
1073408,day,saturday,2023-04-01 13:05:10,673
1073365,morning,saturday,2023-04-01 11:31:03,461
1073324,morning,saturday,2023-04-01 10:02:04,834
1072878,day,friday,2023-03-31 15:01:00,381
1072810,day,friday,2023-03-31 13:25:38,812
1072798,day,friday,2023-03-31 13:09:47,560
1072645,morning,friday,2023-03-31 10:32:25,771
1072586,morning,friday,2023-03-31 08:01:05,428
1072569,morning,friday,2023-03-31 07:01:02,194
1072423,day,thursday,2023-03-30 17:02:35,309
1072369,day,thursday,2023-03-30 16:02:24,345
1072305,day,thursday,2023-03-30 14:37:44,553
1072210,day,thursday,2023-03-30 12:30:43,235
1072089,morning,thursday,2023-03-30 10:30:42,176
1071911,evening,wednesday,2023-03-29 19:40:04,482
1071895,evening,wednesday,2023-03-29 19:23:14,321
1071689,day,wednesday,2023-03-29 14:32:34,338
1071521,morning,wednesday,2023-03-29 10:31:05,424
1071458,morning,wednesday,2023-03-29 08:01:20,453
1071447,morning,wednesday,2023-03-29 07:02:00,745
1071253,day,tuesday,2023-03-28 17:30:00,211
1071242,day,tuesday,2023-03-28 17:00:45,242
1070944,morning,tuesday,2023-03-28 08:00:04,646
1070768,day,monday,2023-03-27 15:55:02,728
1070634,day,monday,2023-03-27 13:21:12,808
1070468,morning,monday,2023-03-27 08:10:59,334
1070453,morning,monday,2023-03-27 07:02:02,347
1070272,day,sunday,2023-03-26 15:03:45,322
1070221,day,sunday,2023-03-26 13:30:00,558
1070129,morning,sunday,2023-03-26 11:02:25,649
1070099,morning,sunday,2023-03-26 09:00:55,254
1069909,day,saturday,2023-03-25 15:01:44,275
1069840,day,saturday,2023-03-25 13:02:45,587
1069733,morning,saturday,2023-03-25 10:03:13,478
1069689,morning,saturday,2023-03-25 08:31:21,415
1069310,day,friday,2023-03-24 15:26:05,509
1069112,day,friday,2023-03-24 12:01:56,599
1068960,morning,friday,2023-03-24 10:02:02,231
1068830,morning,friday,2023-03-24 08:01:14,338
1068479,day,thursday,2023-03-23 16:15:44,767
1068398,day,thursday,2023-03-23 14:38:49,701
1068239,morning,thursday,2023-03-23 11:31:07,442
1068109,morning,thursday,2023-03-23 09:45:46,761
1068031,morning,thursday,2023-03-23 08:00:51,381
1068012,morning,thursday,2023-03-23 07:01:03,284
1067864,evening,wednesday,2023-03-22 19:56:14,609
1067735,day,wednesday,2023-03-22 16:42:58,235
1067604,day,wednesday,2023-03-22 14:36:22,519
1067451,day,wednesday,2023-03-22 12:00:06,337
1067271,morning,wednesday,2023-03-22 10:00:05,507
1067210,morning,wednesday,2023-03-22 08:00:03,405
1066658,day,tuesday,2023-03-21 15:12:47,667
1066324,morning,tuesday,2023-03-21 10:03:58,758
1066188,morning,tuesday,2023-03-21 08:02:26,761
1066131,morning,tuesday,2023-03-21 07:02:16,478
1065796,evening,monday,2023-03-20 19:44:30,1778
1065654,day,monday,2023-03-20 17:48:14,364
1065522,day,monday,2023-03-20 16:17:54,434
1065418,day,monday,2023-03-20 15:20:40,1075
